tconst,location,latitude,longitude,titleType,primaryTitle
tt0111161,"Mansfield Reformatory - 100 Reformatory Road, Mansfield, Ohio, USA",40.784215,-82.502481,movie,The Shawshank Redemption
tt0111161,"Butler, Ohio, USA",40.5883933,-82.4248862,movie,The Shawshank Redemption
tt0111161,"Sandy Point, St. Croix, U.S. Virgin Islands",17.69192,-64.8804241,movie,The Shawshank Redemption
tt0111161,"Malabar Farm State Park - 4050 Bromfield Road, Lucas, Ohio, USA",40.6525867,-82.3984872,movie,The Shawshank Redemption
tt0111161,"127A Smithfield Road, Frederiksted, Virgin Islands",17.7124746,-64.8815352,movie,The Shawshank Redemption
tt0111161,"Wyandot County Courthouse, Upper Sandusky, Ohio, USA",40.8271292,-83.2807813,movie,The Shawshank Redemption
tt0111161,"Ashland, Ohio, USA",40.8686675,-82.3182178,movie,The Shawshank Redemption
tt0111161,"193 North Main Street, Mansfield, Ohio, USA",40.7636861,-82.5155272,movie,The Shawshank Redemption
tt0111161,"Snyder Road and Hagerman Road, Bellville, Ohio, USA",40.6164468,-82.4290207,movie,The Shawshank Redemption
tt0111161,"Mansfield, Ohio, USA",40.75839,-82.5154471,movie,The Shawshank Redemption
tt0111161,"Upper Sandusky, Ohio, USA",40.8272785,-83.2813089,movie,The Shawshank Redemption
tt0111161,"301 E 5th Street, Mansfield, Ohio, USA",40.7630465,-82.5056945,movie,The Shawshank Redemption
tt0111161,"Rod Bay, St Croix, USVI",17.7335872,-64.6147626,movie,The Shawshank Redemption
tt0111161,"Yuma, Arizona, USA",32.6926512,-114.6276916,movie,The Shawshank Redemption
tt0111161,"Bellville, Ohio, USA",40.6200588,-82.5107222,movie,The Shawshank Redemption
tt0111161,"Sandusky, Ohio, USA",41.4561754,-82.7116821,movie,The Shawshank Redemption
tt0111161,"Mansfield, Shelby, Ohio, USA",40.88144519999999,-82.6618424,movie,The Shawshank Redemption
tt0111161,"Ohio, USA",40.4172871,-82.907123,movie,The Shawshank Redemption
tt0111161,"Arizona, USA",34.0489281,-111.0937311,movie,The Shawshank Redemption
tt0111161,USA,37.09024,-95.712891,movie,The Shawshank Redemption
tt0468569,"Chicago, Illinois, USA",41.8781136,-87.6297982,movie,The Dark Knight
tt0468569,"Battersea Power Station, Battersea, London, England, UK",51.48202029999999,-0.1444907,movie,The Dark Knight
tt0468569,"Times Square, Causeway Bay, Hong Kong",22.278151,114.1821136,movie,The Dark Knight
tt0468569,"Senate House, University College London, Malet Street, Bloomsbury, London, England, UK",51.52424999999999,-0.1318506,movie,The Dark Knight
tt0468569,"Piccadilly Circus, Piccadilly, London, England, UK",51.5098597,-0.1342809,movie,The Dark Knight
tt0468569,"Queen's Road Central, Central, Hong Kong, China",22.282826,114.155706,movie,The Dark Knight
tt0468569,"Millennium Station, Chicago, Illinois, USA",41.8843882,-87.6246974,movie,The Dark Knight
tt0468569,"Twin Anchors Restaurant & Tavern - 1655 N. Sedgwick Street, Lincoln Park, Chicago, Illinois, USA",41.9127239,-87.6384224,movie,The Dark Knight
tt0468569,"Hong Kong, China",22.3193039,114.1693611,movie,The Dark Knight
tt0468569,"Pinewood Studios, Iver Heath, Buckinghamshire, England, UK",51.5488872,-0.5319506,movie,The Dark Knight
tt0468569,"Victoria Harbour, Hong Kong, China",22.30744579369529,114.1677101505829,movie,The Dark Knight
tt0468569,"Brach's Candy Factory - 401 N. Cicero Street, Chicago, Illinois, USA",41.8880214,-87.7453924,movie,The Dark Knight
tt0468569,"Bedford, Bedfordshire, England, UK",52.1386394,-0.4667782,movie,The Dark Knight
tt0468569,"Lower Wacker Drive, Downtown, Chicago, Illinois, USA",41.881402,-87.63682,movie,The Dark Knight
tt0468569,"Chertsey, Surrey, England, UK",51.386491,-0.509456,movie,The Dark Knight
tt0468569,"George Farmiloe Building - 28-36 St John Street, Clerkenwell, London, England, UK",51.52080850000001,-0.1014043,movie,The Dark Knight
tt0468569,"South LaSalle St., Chicago, Illinois, USA",41.8770561,-87.6317616,movie,The Dark Knight
tt0468569,"Old Post Office, Chicago, Illinois, USA",41.8766228,-87.6383941,movie,The Dark Knight
tt0468569,"University of Westminster, London, England, UK",51.5072178,-0.1275862,movie,The Dark Knight
tt0468569,"Atwood Cafe - 1 W Washington St, Chicago, Illinois, USA",41.8830904,-87.6281082,movie,The Dark Knight
tt0468569,"McCormick Place - 2301 S. Lake Shore Drive, Near South Side, Chicago, Illinois, USA",41.8527221,-87.6158294,movie,The Dark Knight
tt0468569,"IBM Building - 330 N Wabash, Chicago, Illinois, USA",41.88863389999999,-87.6275074,movie,The Dark Knight
tt0468569,"Cardington Airship Hangars, Bedfordshire, England, UK",52.117296,-0.412731,movie,The Dark Knight
tt0468569,"Richard J. Daley Center - 55 W. Randolph Street, The Loop, Downtown, Chicago, Illinois, USA",41.884328,-87.6301134,movie,The Dark Knight
tt0468569,"Twickenham, Middlesex, England, UK",51.4453043,-0.3375429,movie,The Dark Knight
tt0468569,"Trump International Hotel & Tower - 401 N Wabash, Chicago, Illinois, USA",41.888868,-87.626394,movie,The Dark Knight
tt0468569,"230 S LaSelle St, Chicago, Illinois, USA",41.8785478,-87.6328668,movie,The Dark Knight
tt0468569,"Criterion Theatre, Jermyn Street, St James's, London, England, UK",51.5097268,-0.1342695,movie,The Dark Knight
tt0468569,"Warner Bros. Studios Leavesden, Warner Drive, Leavesden, Watford, Hertfordshire, England, UK",51.6929761,-0.4171846,movie,The Dark Knight
tt0468569,"London, England, UK",51.5072178,-0.1275862,movie,The Dark Knight
