Category,Values
Biography,0.03809571745634563
Biography,-0.02790472348164666
Biography,0.044076294636900645
Biography,0.036501378199453614
Biography,0.09415798362983509
Biography,0.040118220209963355
Biography,0.013728702120089954
Biography,0.06570828172669983
Biography,0.11994236802928351
Biography,0.061132758775615734
Biography,0.08757977812337009
Biography,0.05982583476280952
Biography,0.05512080552385567
Biography,0.04762596880243937
Biography,0.06581697981753186
Biography,0.11657226916794274
Biography,-0.03304304935904026
Biography,0.06252861537103555
Biography,0.10446416654749983
Biography,0.14787925385669667
Biography,0.05157910998658662
Biography,0.09801748379743218
Biography,0.047874055626491434
Biography,0.0656835902770366
Biography,0.10266626744467638
Biography,0.08729761616449917
Biography,0.031427524825044455
Biography,0.06201776700627816
Biography,0.012060091516670467
Biography,0.03173327080327083
Biography,0.033622229671203846
Biography,0.06639910569925914
Biography,0.1060554674284902
Biography,0.02906113465584841
Biography,0.12308723896857518
Biography,0.08491513543624374
Biography,0.06256852776093402
Biography,0.09749736463420351
Biography,0.048398748751808586
Biography,0.10619207570591645
Biography,0.05187001304202542
Biography,0.05014671914179512
Biography,0.09799345710476741
Biography,0.04148910033569124
Biography,0.06564038867115776
Biography,0.13061195763722813
Biography,0.09794817576175259
Biography,0.09243253991334578
Biography,0.03874164342137567
Biography,0.004896520203268696
Biography,0.06555044298592681
Biography,0.06812957966050735
Biography,0.08062890425123648
Comedy,0.06280488653306601
Comedy,0.06412310073052567
Comedy,0.014786293330961965
Comedy,0.09950242273760218
Comedy,-0.021981834436471538
Comedy,0.06960244514472452
Comedy,0.04051675490234809
Comedy,-0.012484262193368437
Comedy,0.09205464058267787
Comedy,0.1184020893480351
Comedy,0.0038135506815282195
Comedy,0.026599571304903452
Comedy,0.10516646410040568
Comedy,0.0928087359500404
Comedy,0.09415798362983509
Comedy,0.007364177153404301
Comedy,0.0837555210599426
Comedy,0.040118220209963355
Comedy,0.006119474109047985
Comedy,0.03517470897034249
Comedy,-0.02003292470662912
Comedy,0.07639754435167286
Comedy,0.20386438453354488
Comedy,0.09651078843583975
Comedy,0.06017656360150676
Comedy,0.09348781005194978
Comedy,0.10301160642106523
Comedy,0.020130369630369602
Comedy,0.06103789002231894
Comedy,-0.04017140646239006
Comedy,0.03208185465328321
Comedy,0.07339102926059446
Comedy,0.09529531590276995
Comedy,0.0039022267766229053
Comedy,0.05377727292716697
Comedy,-0.005162524422334188
Comedy,0.020309643906498226
Comedy,0.04863056175850294
Comedy,-0.00972115487069693
Comedy,0.07382773474174956
Comedy,0.11006341960038599
Comedy,0.10853908007850928
Comedy,0.11021147302933705
Comedy,-0.013970446220446218
Comedy,0.12319756522137464
Comedy,0.010376633374965288
Comedy,0.058284196104913075
Comedy,0.10045212500286475
Comedy,0.07471494222776276
Comedy,0.06917795142029115
Comedy,0.07696763163483951
Comedy,0.09039290394705127
Comedy,0.04424992886195594
Comedy,0.02006585931535223
Comedy,0.15861829912413491
Comedy,0.09253469503469507
Comedy,0.07021804516687549
Comedy,0.0801432985290503
Comedy,0.04300457393743747
Comedy,0.11246088879585722
Comedy,0.04955304922711815
Comedy,0.13006089799731427
Comedy,0.12496921799172521
Comedy,0.020890908476118436
Comedy,0.035565131636040734
Comedy,-0.018304696812848926
Comedy,0.05428650811667442
